,Year,SA,CS,Easting,Northing,Elevation,Banks,Thalweg,Watersfc
261,1988,2,1,353519.896,5419974.293,3.243,TL,,
262,1988,2,1,353519.895,5419974.314,2.813,BL,,
263,1988,2,1,353519.693,5419977.637,2.753,,,
264,1988,2,1,353519.613,5419978.954,2.763,,,
265,1988,2,1,353519.579,5419979.513,2.813,,,
266,1988,2,1,353519.533,5419980.282,2.763,,,
267,1988,2,1,353519.434,5419981.909,2.603,,,
268,1988,2,1,353519.324,5419983.725,2.103,,T,
269,1988,2,1,353519.267,5419984.654,2.173,BR,,
270,1988,2,1,353519.234,5419985.203,3.973,TR,,
821,1988,2,2,353517.141,5419970.436,3.423,TL,,
822,1988,2,2,353516.792,5419975.103,2.943,BL,,
823,1988,2,2,353516.748,5419975.691,2.743,,,
824,1988,2,2,353516.691,5419976.449,2.903,,,
825,1988,2,2,353516.636,5419977.177,2.763,,,
826,1988,2,2,353516.57,5419978.065,2.673,,,
827,1988,2,2,353516.486,5419979.182,2.763,,,
828,1988,2,2,353516.308,5419981.565,2.533,,,
829,1988,2,2,353516.199,5419983.021,2.303,,T,
830,1988,2,2,353516.093,5419984.447,2.493,BR,,
831,1988,2,2,353516.07,5419984.756,2.753,,,
832,1988,2,2,353516.044,5419985.095,3.533,TR,,
833,1988,2,2,353515.973,5419986.042,3.943,,,
1378,1988,2,3,353514.036,5419972.515,3.203,TL,,
1379,1988,2,3,353513.961,5419973.853,2.613,BL,,
1380,1988,2,3,353513.9,5419974.921,2.653,,,
1381,1988,2,3,353513.844,5419975.919,2.723,,,
1382,1988,2,3,353513.816,5419976.409,2.843,,,
1383,1988,2,3,353513.765,5419977.297,2.793,,,
1384,1988,2,3,353513.733,5419977.866,2.713,,,
1385,1988,2,3,353513.712,5419978.236,2.703,,,
1386,1988,2,3,353513.655,5419979.244,2.743,,,
1387,1988,2,3,353513.474,5419982.439,2.493,,T,
1388,1988,2,3,353513.328,5419985.025,2.773,BR,,
1389,1988,2,3,353513.311,5419985.324,3.413,TR,,
1941,1988,2,4,353510.974,5419972.437,3.133,TL,,
1942,1988,2,4,353510.916,5419973.776,2.603,BL,,
1943,1988,2,4,353510.885,5419974.476,2.493,,,
